# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
	raise	in-ID	
	range	in-ID	
	rate	in-ID	
	rather	in-ID	
	reach	in-ID	
	reaction	in-ID	
	read	in-ID	
	ready	in-ID	
	real	in-ID	
	realize	in-ID	
	really	in-ID	
	reason	in-ID	
	receive	in-ID	
	recent	in-ID	
	recently	in-ID	
	recognize	in-ID	
	record	in-ID	
	red	in-ID	
	reduce	in-ID	
	region	in-ID	
	relate	in-ID	
	relation	in-ID	
	relationship	in-ID	
	religion	in-ID	
	religious	in-ID	
	remain	in-ID	
	remember	in-ID	
	remove	in-ID	
	report	in-ID	
	represent	in-ID	
	require	in-ID	
	research	in-ID	
	respect	in-ID	
	responsibility	in-ID	
	rest	in-ID	
	result	in-ID	
	return	in-ID	
	ride	in-ID	
	right	in-ID	
	rise	in-ID	
	river	in-ID	
	road	in-ID	
	role	in-ID	
	room	in-ID	
	rule	in-ID	
	run	in-ID	
	saint	in-ID	
	sale	in-ID	
	same	in-ID	
	save	in-ID	
	say	in-ID	
	scene	in-ID	
	school	in-ID	
	science	in-ID	
	season	in-ID	
	second	in-ID	
	secretary	in-ID	
	section	in-ID	
	see	in-ID	
	seek	in-ID	
	seem	in-ID	
	select	in-ID	
	sell	in-ID	
	send	in-ID	
	sense	in-ID	
	series	in-ID	
	serious	in-ID	
	serve	in-ID	
	service	in-ID	
	set	in-ID	
	settle	in-ID	
	several	in-ID	
	shall	in-ID	
	she	in-ID	
	ship	in-ID	
	shoot	in-ID	
	short	in-ID	
	should	in-ID	
	show	in-ID	
	side	in-ID	
	sign	in-ID	
	similar	in-ID	
	simple	in-ID	
	simply	in-ID	
	since	in-ID	
	single	in-ID	
	sit	in-ID	
	situation	in-ID	
	six	in-ID	
	size	in-ID	
	slowly	in-ID	
	small	in-ID	
	smile	in-ID	
	social	in-ID	
	society	in-ID	
	some	in-ID	
	something	in-ID	
	sometimes	in-ID	
	son	in-ID	
	soon	in-ID	
	sort	in-ID	
	sound	in-ID	
	source	in-ID	
	south	in-ID	
	southern	in-ID	
	space	in-ID	
	speak	in-ID	
	special	in-ID	
	specific	in-ID	
	spend	in-ID	
	spring	in-ID	
	square	in-ID	
	stage	in-ID	
	stand	in-ID	
	start	in-ID	
	state	in-ID	
	statement	in-ID	
	station	in-ID	
	stay	in-ID	
	step	in-ID	
	still	in-ID	
	stock	in-ID	
	stop	in-ID	
	story	in-ID	
	street	in-ID	
	strength	in-ID	
	strike	in-ID	
	strong	in-ID	
	structure	in-ID	
	student	in-ID	
	study	in-ID	
	subject	in-ID	
	success	in-ID	
	such	in-ID	
	suddenly	in-ID	
	suffer	in-ID	
	suggest	in-ID	
	summer	in-ID	
	supply	in-ID	
	support	in-ID	
	suppose	in-ID	
	sure	in-ID	
	system	in-ID	
	table	in-ID	
	take	in-ID	
	talk	in-ID	
	tax	in-ID	
	teacher	in-ID	
	technical	in-ID	
	technique	in-ID	
	tell	in-ID	
	temperature	in-ID	
	ten	in-ID	
	term	in-ID	
	test	in-ID	
	than	in-ID	
	that	in-ID	
	the	in-ID	
	themselves	in-ID	
	then	in-ID	
	theory	in-ID	
	there	in-ID	
	therefore	in-ID	
	these	in-ID	
	they	in-ID	
	thing	in-ID	
	think	in-ID	
	third	in-ID	
	this	in-ID	
	those	in-ID	
